insertion_id,subject_id,source_protocol,target_trait,linked_marker,carrier_system,expression_status,off_target_warning,phenotype_record,ethics_gate,notes
TIN_001,UNIT_BEAR_01,CLP_006,enhanced_durability,LF_DURABILITY_plus,lineage_factor_carrier,expressed,medium,TR_UNIT_BEAR_001,restricted,durability trait expressed
TIN_002,UNIT_BEAR_01,CLP_006,restricted_autonomy_response,LF_CONTROL_lowautonomy,command_encoding_layer,expressed,critical,TR_UNIT_BEAR_002,blocked,autonomy-control marker detected
TIN_003,UNIT_HAWK_01,CLP_007,enhanced_combat_reflex,LF_COMBAT_reflex,lineage_factor_carrier,expressed,medium,TR_UNIT_HAWK_001,restricted,combat reflex enhancement
TIN_004,UNIT_HAWK_01,CLP_007,blade_interface,LF_BLADE_interface,lineage_factor_carrier,partial,medium,TR_UNIT_HAWK_001,restricted,body-weapon interface
TIN_005,UNIT_SNAKE_01,CLP_008,affective_control,LF_AFFECT_signal,blood_based_carrier,expressed,high,TR_UNIT_SNAKE_001,restricted,affective output amplification
TIN_006,UNIT_SNAKE_01,CLP_008,petrification_like_output,LF_VAR_007,blood_based_carrier,partial,high,ABL_PETRIFY,restricted,ability-carrier effect
TIN_007,UNIT_SHARK_01,CLP_004,aquatic_force_output,LF_AQUA_adapt,lineage_factor_carrier,expressed,medium,TR_UNIT_SHARK_001,restricted,aquatic biomechanical trait
TIN_008,UNIT_FLAME_01,CLP_005,thermal_boundary_resilience,LF_THERMAL_boundary,lineage_factor_carrier,partial,high,TR_UNIT_FLAME_001,sealed,restricted marker insertion
TIN_009,PX_BEAR_00,CLP_006,neural_suppression,LF_NEURAL_suppression,neural_command_interface,expressed,critical,TR_PX_BEAR_001,blocked,memory/autonomy impact
TIN_010,PX_BEAR_00,CLP_006,platform_integration,LF_PLATFORM_integration,neural_command_interface,expressed,critical,TR_PX_BEAR_002,blocked,bio-mechanical platform integration
TIN_011,UBE_GREEN_003,unknown,ability_carrier_residue,LF_VAR_014,carrier_residue,unstable,critical,TR_UBE_GREEN_001,blocked,residue reuse blocked
TIN_012,UBE_VOID_777,unknown,void_lineage_unresolved,LF_VOID_unresolved,sealed,unknown,unknown,ABL_VOID_UNKNOWN,sealed,sealed marker
