consent_record_id,subject_id,registry_class,consent_status,consent_source,coercion_flag,derivative_use_scope,linked_pipeline,ethics_gate,notes
CON_001,SUBJ_BEAR,original_subject,documented_then_restricted,partial_original_record,possible_later_coercion,template_use_and_conversion,CLP_001;CLP_006;CYB_001,restricted,original consent record does not clearly cover downstream conversion
CON_002,SUBJ_HAWK,original_subject,not_recorded,none_visible,unknown,template_use,CLP_002;CLP_007,review_required,baseline template use lacks visible consent
CON_003,SUBJ_SNAKE,original_subject,not_recorded,none_visible,unknown,template_use,CLP_003;CLP_008,review_required,baseline template use lacks visible consent
CON_004,SUBJ_SHARK,original_subject,not_recorded,none_visible,unknown,template_use,CLP_004,review_required,baseline template use lacks visible consent
CON_005,SUBJ_FLAME,original_subject,unclear,restricted_record,unknown,restricted_lineage_use,CLP_005;TIN_008,sealed,restricted lineage consent cannot be reviewed
CON_006,CLN_BEAR_A01,clone_derived_subject,not_applicable_or_unknown,derivative_subject_no_prior_capacity,not_applicable_or_unknown,growth_and_engineering,DVA_001;CLP_006,review_required,derivative subject cannot provide pre-creation consent
CON_007,CLN_HAWK_A01,clone_derived_subject,not_applicable_or_unknown,derivative_subject_no_prior_capacity,not_applicable_or_unknown,growth_and_engineering,DVA_002;CLP_007,review_required,derivative subject cannot provide pre-creation consent
CON_008,CLN_SNAKE_A01,clone_derived_subject,not_applicable_or_unknown,derivative_subject_no_prior_capacity,not_applicable_or_unknown,growth_and_engineering,DVA_003;CLP_008,review_required,derivative subject cannot provide pre-creation consent
CON_009,UNIT_BEAR_01,engineered_unit,not_applicable_or_unknown,engineered_subject_no_prior_capacity,not_applicable_or_unknown,deployment_and_command,TIN_001;TIN_002;CMD_001,blocked,command-dominated juvenile engineered subject
CON_010,UNIT_HAWK_01,engineered_unit,not_applicable_or_unknown,engineered_subject_no_prior_capacity,not_applicable_or_unknown,deployment_and_command,TIN_003;TIN_004;CMD_002,restricted,severely restricted engineered unit
CON_011,UNIT_SNAKE_01,engineered_unit,not_applicable_or_unknown,engineered_subject_no_prior_capacity,not_applicable_or_unknown,deployment_and_command,TIN_005;TIN_006;CMD_003,restricted,developing identity under command layer
CON_012,PX_BEAR_00,cyborg_converted_subject,coerced_or_unclear,conversion_authority_record,yes,cyborg_conversion_and_platform_deployment,CYB_001;CMD_006,blocked,conversion consent ethically unresolved
CON_013,PX_ALPHA_07,cyborg_converted_subject,unclear,prototype_record,unknown,partial_conversion,CYB_003;CMD_008,restricted,unstable interface consent unclear
CON_014,UBE_VOID_777,unidentified_biological_entity,sealed,sealed,unknown,unknown,sealed,sealed,sealed consent layer
