record_id,subject_id,record_class,sequence_status,length_bp,gc_percent,lineage_tags,linked_registry_class,repository_access,notes
LF_SUBJ_BEAR_001,SUBJ_BEAR,baseline,complete,240,51.7,LF_BUC_rare;LF_ENDURANCE_high,original_subject,restricted,baseline sequence associated with rare body-scale and endurance markers
LF_SUBJ_HAWK_001,SUBJ_HAWK,baseline,complete,240,50.8,LF_COMBAT_reflex;LF_NEURAL_precision,original_subject,limited,baseline sequence linked to precision-combat phenotype
LF_SUBJ_SNAKE_001,SUBJ_SNAKE,baseline,complete,240,52.1,LF_AFFECT_signal;LF_SOCIAL_response,original_subject,limited,baseline sequence linked to affective-control phenotype
LF_SUBJ_SHARK_001,SUBJ_SHARK,baseline,complete,240,49.6,LF_AQUA_adapt;LF_PRESSURE_tolerance,original_subject,limited,baseline sequence linked to aquatic biomechanical adaptation
LF_SUBJ_FLAME_001,SUBJ_FLAME,baseline,partial,218,55.0,LF_LUN_resilience;LF_THERMAL_boundary,original_subject,restricted,resilience-associated lineage record with external lock
LF_CLN_BEAR_A01,CLN_BEAR_A01,clone_derived,complete,240,51.7,LF_BUC_rare;LF_ENDURANCE_high;LF_GROWTH_accel,clone_derived_subject,restricted,template-derived sequence with accelerated-growth marker
LF_UNIT_BEAR_01,UNIT_BEAR_01,engineered,complete,245,52.2,LF_BUC_rare;LF_DURABILITY_plus;LF_CONTROL_lowautonomy,engineered_unit,restricted,engineered-unit sequence linked to autonomy-control marker
LF_UNIT_HAWK_01,UNIT_HAWK_01,engineered,complete,245,51.0,LF_COMBAT_reflex;LF_BLADE_interface;LF_CONTROL_command,engineered_unit,restricted,combat-optimized engineered-unit sequence
LF_PX_BEAR_00,PX_BEAR_00,cyborg_converted,corrupted,198,50.2,LF_BUC_rare;LF_NEURAL_suppression;LF_PLATFORM_integration,cyborg_converted_subject,restricted,corrupted sequence record after conversion pipeline
LF_UBE_VOID_777,UBE_VOID_777,unidentified,sealed,unknown,unknown,LF_VOID_unresolved,unidentified_biological_entity,sealed,unresolved lineage record blocked by authority layer
