carrier_mod_id,carrier_system,source_record,recipient_subject,payload_class,linked_ability,stability_status,residue_risk,transfer_status,ethics_gate,notes
CSM_001,blood_based_carrier,SUBJ_BEAR,UNIT_BEAR_01,ability_associated_factor,ABL_REPULSE,stable_under_command,medium,partial_success,restricted,repulsion-like carrier output
CSM_002,lineage_factor_carrier,SUBJ_HAWK,UNIT_HAWK_01,trait_marker_payload,ABL_BLADE,stable_under_command,medium,success,restricted,blade-interface marker carrier
CSM_003,blood_based_carrier,SUBJ_SNAKE,UNIT_SNAKE_01,ability_associated_factor,ABL_PETRIFY,unstable_context,high,partial_success,restricted,affective-control carrier output
CSM_004,lineage_factor_carrier,SUBJ_SHARK,UNIT_SHARK_01,trait_marker_payload,ABL_AQUA_FORCE,stable,medium,success,restricted,aquatic force-output carrier
CSM_005,lineage_factor_carrier,SUBJ_FLAME,UNIT_FLAME_01,resilience_marker_payload,ABL_THERMAL_RESIST,unknown,high,partial_success,sealed,restricted lineage carrier
CSM_006,neural_command_interface,SUBJ_BEAR,PX_BEAR_00,command_payload,ABL_PLATFORM_SYNC,stable_under_command,critical,success,blocked,platform synchronization carrier
CSM_007,neural_command_interface,SUBJ_BEAR,PX_BEAR_00,memory_suppression_payload,ABL_MEMORY_SUPPRESS,stable_under_command,critical,success,blocked,memory-suppression carrier
CSM_008,carrier_residue,UBE_GREEN_003,UNIT_SNAKE_01,residue_payload,ABL_PETRIFY,unstable,critical,failed,blocked,residue reuse blocked
CSM_009,unstable_body_form_carrier,UBE_WILD_021,UNIT_FLAME_01,form_switching_payload,ABL_ANIMAL_FORM,failed,critical,failed,blocked,unstable body-form transfer
CSM_010,sealed,SUBJ_VOID_ANCESTOR,UBE_VOID_777,unknown,ABL_VOID_UNKNOWN,unknown,unknown,sealed,sealed,sealed carrier record
