source_marker	target_trait	edge_type	risk_tag
LF_BUC_rare	rare_body_scale_lineage	supports	critical_if_template_used
LF_ENDURANCE_high	extreme_endurance	supports	review_required
LF_DURABILITY_plus	enhanced_durability	engineered_gain	high
LF_CONTROL_lowautonomy	restricted_autonomy	control_layer	critical
LF_COMBAT_reflex	precision_combat_reflex	supports	moderate
LF_BLADE_interface	body_weapon_interface	engineered_gain	high
LF_AFFECT_signal	affective_control	supports	high
LF_NEURAL_suppression	memory_suppression	control_layer	critical
LF_PLATFORM_integration	cyborg_platform_conversion	integration	critical
LF_VOID_unresolved	unresolved_lineage	unknown	sealed
