reversibility_record_id,subject_id,registry_class,intervention_class,reversibility_status,repairability,harm_persistence,linked_records,ethics_gate,notes
REV_001,CLN_BEAR_A01,clone_derived_subject,accelerated_growth,irreversible,not_repairable_to_precreation_state,persistent,DVA_001,review_required,development cannot be reversed to nonexistence
REV_002,UNIT_BEAR_01,engineered_unit,trait_insertion_and_command_link,partially_reversible,unknown,persistent_command_risk,TIN_001;TIN_002;CMD_001,blocked,autonomy-control concern
REV_003,UNIT_HAWK_01,engineered_unit,trait_insertion_and_command_link,partially_reversible,unknown,persistent_restriction,TIN_003;TIN_004;CMD_002,restricted,combat and command layer
REV_004,UNIT_SNAKE_01,engineered_unit,ability_carrier_and_command_link,unknown,unknown,persistent_identity_risk,TIN_005;TIN_006;CMD_003,restricted,developing identity under carrier system
REV_005,UNIT_SHARK_01,engineered_unit,trait_insertion_and_command_link,partially_reversible,unknown,persistent_restriction,TIN_007;CMD_004,restricted,field deployment
REV_006,UNIT_FLAME_01,engineered_unit,restricted_lineage_transfer,sealed,sealed,sealed,TIN_008;CMD_005,sealed,restricted lineage intervention
REV_007,PX_BEAR_00,cyborg_converted_subject,cyborg_conversion_memory_suppression,irreversible_or_unknown,low,persistent_identity_fracture,CYB_001;BSA_007;CMD_006,blocked,conversion and memory suppression
REV_008,PX_BEAR_01,cyborg_converted_subject,platform_replication,unknown,unknown,persistent_command_status,CYB_002;CMD_007,blocked,replicated platform architecture
REV_009,PX_ALPHA_07,cyborg_converted_subject,partial_conversion,unknown,medium,persistent_fragmentation,CYB_003;MEM_013,restricted,unstable interface
REV_010,UBE_GREEN_003,unidentified_biological_entity,carrier_residue,unknown,low,contamination_risk,CSM_008,blocked,residue reuse blocked
REV_011,UBE_WILD_021,unidentified_biological_entity,unstable_body_form_switching,unknown,unknown,containment_risk,BSA_008;CSM_009,blocked,escaped unstable form-switching
REV_012,UBE_VOID_777,unidentified_biological_entity,sealed_intervention,sealed,sealed,sealed,sealed,sealed,sealed reversibility layer
