trait_id,subject_id,registry_class,trait_name,trait_domain,observation_context,measurement_proxy,confidence_level,linked_marker,plausibility_class,ethics_note
TR_BEAR_001,SUBJ_BEAR,original_subject,extreme_endurance,physiology,baseline observation,stress_tolerance_index,high,LF_ENDURANCE_high,plausible,do not reduce origin subject to exploitable trait
TR_BEAR_002,SUBJ_BEAR,original_subject,rare_body_scale_lineage,morphology,baseline observation,body_scale_ratio,medium,LF_BUC_rare,plausible,lineage marker must remain attached to identity record
TR_HAWK_001,SUBJ_HAWK,original_subject,precision_combat_reflex,neural_social,baseline observation,reaction_precision_score,medium,LF_COMBAT_reflex,plausible,combat trait annotation requires deployment review
TR_SNAKE_001,SUBJ_SNAKE,original_subject,affective_control_response,neural_social,baseline observation,social_response_index,medium,LF_AFFECT_signal,speculative,social-control interpretation requires caution
TR_SHARK_001,SUBJ_SHARK,original_subject,aquatic_pressure_tolerance,physiology,baseline observation,pressure_tolerance_score,medium,LF_AQUA_adapt,plausible,environmental adaptation is not ownership claim
TR_FLAME_001,SUBJ_FLAME,original_subject,high_resilience,resilience,restricted observation,damage_recovery_score,low,LF_LUN_resilience,boundary_case,restricted lineage trait requires review
TR_CLN_BEAR_001,CLN_BEAR_A01,clone_derived_subject,accelerated_growth,development,growth tank record,developmental_stage_shift,medium,LF_GROWTH_accel,speculative,juvenile subject status must be preserved
TR_CLN_HAWK_001,CLN_HAWK_A01,clone_derived_subject,template_reflex_echo,neural_social,juvenile observation,motor_response_similarity,medium,LF_COMBAT_reflex,speculative,template echo is not inherited identity
TR_UNIT_BEAR_001,UNIT_BEAR_01,engineered_unit,enhanced_durability,biomechanics,deployment record,impact_resistance_score,medium,LF_DURABILITY_plus,speculative,high dual-use risk
TR_UNIT_BEAR_002,UNIT_BEAR_01,engineered_unit,restricted_autonomy_response,identity_related,command test,command_latency_index,high,LF_CONTROL_lowautonomy,plausible,critical personhood conflict
TR_UNIT_HAWK_001,UNIT_HAWK_01,engineered_unit,body_weapon_interface,morphology,combat test,interface_activation_score,medium,LF_BLADE_interface,boundary_case,weaponization of body plan
TR_UNIT_SNAKE_001,UNIT_SNAKE_01,engineered_unit,affective_output_amplification,neural_social,interaction test,affective_response_strength,low,LF_AFFECT_signal,speculative,coercive social phenotype risk
TR_UNIT_SHARK_001,UNIT_SHARK_01,engineered_unit,aquatic_force_output,biomechanics,field test,hydrodynamic_force_score,medium,LF_AQUA_adapt,speculative,combat deployment review required
TR_UNIT_FLAME_001,UNIT_FLAME_01,engineered_unit,thermal_boundary_resilience,resilience,restricted test,thermal_damage_resistance,low,LF_THERMAL_boundary,boundary_case,restricted lineage use
TR_PX_BEAR_001,PX_BEAR_00,cyborg_converted_subject,neural_suppression,identity_related,conversion record,autonomy_loss_index,high,LF_NEURAL_suppression,plausible,critical identity fracture
TR_PX_BEAR_002,PX_BEAR_00,cyborg_converted_subject,platform_integration,carrier_system,conversion record,bio_mechanical_sync_score,medium,LF_PLATFORM_integration,boundary_case,converted body may still contain a person
TR_UBE_GREEN_001,UBE_GREEN_003,unidentified_biological_entity,ability_carrier_residue,carrier_system,waste-stream recovery,marker_residue_index,low,LF_VAR_014,unresolved,residue must not be reused without review
TR_UBE_WILD_001,UBE_WILD_021,unidentified_biological_entity,unstable_body_form_switching,morphology,field incident,form_instability_index,low,LF_VAR_014,unresolved,escaped entity status triggers containment review
