deployment_record_id,subject_id,registry_class,deployment_status,authority_layer,deployment_role,dual_use_risk,command_link,ethics_gate,notes
DEP_001,SUBJ_BEAR,original_subject,not_deployed,none,original_subject,low,None,pass,baseline subject not deployment asset
DEP_002,CLN_BEAR_A01,clone_derived_subject,testing,science_defense_division,derivative_subject_evaluation,high,None,review_required,juvenile derivative testing
DEP_003,UNIT_BEAR_01,engineered_unit,deployed,science_defense_division,durability_and_ability_unit,critical,CMD_001,blocked,command-dominated juvenile engineered unit
DEP_004,UNIT_HAWK_01,engineered_unit,deployed,science_defense_division,combat_optimization_unit,critical,CMD_002,restricted,severely restricted combat unit
DEP_005,UNIT_SNAKE_01,engineered_unit,deployed,science_defense_division,ability_activation_unit,critical,CMD_003,restricted,developing identity under command
DEP_006,UNIT_SHARK_01,engineered_unit,deployed,science_defense_division,aquatic_force_unit,high,CMD_004,restricted,field engagement role
DEP_007,UNIT_FLAME_01,engineered_unit,restricted_deployment,restricted_lineage_office,resilience_unit,critical,CMD_005,sealed,restricted lineage deployment
DEP_008,PX_BEAR_00,cyborg_converted_subject,deployed,world_government_mandate,platform_weapon_system,critical,CMD_006,blocked,converted subject deployed as platform
DEP_009,PX_BEAR_01,cyborg_converted_subject,deployed,world_government_mandate,replicated_platform_system,critical,CMD_007,blocked,replicated command platform
DEP_010,PX_ALPHA_07,cyborg_converted_subject,testing,science_defense_division,prototype_engagement,high,CMD_008,restricted,unstable prototype
DEP_011,UBE_WILD_021,unidentified_biological_entity,unknown,none_detected,escaped_entity,critical,CMD_009,blocked,uncontrolled status
DEP_012,UBE_VOID_777,unidentified_biological_entity,sealed,sealed_authority_layer,sealed,unknown,CMD_010,sealed,sealed deployment layer
