conflict_id,subject_id,registry_class,conflict_class,identity_continuity_link,memory_status_link,autonomy_status_link,consent_record_link,recommended_action,ethics_gate,notes
PCF_001,SUBJ_BEAR,original_subject,no_conflict_detected,IDC_001,MEM_001,AUT_001,CON_001,preserve_origin_record,restricted,downstream derivative use creates external conflict
PCF_002,CLN_BEAR_A01,clone_derived_subject,derivative_identity,IDC_004,MEM_006,AUT_005,CON_006,protect_derivative_subject_status,review_required,clone-derived subject not original person
PCF_003,CLN_SNAKE_A01,clone_derived_subject,emergent_identity,IDC_006,MEM_008,AUT_007,CON_008,protect_emergent_identity,review_required,new identity signs present
PCF_004,UNIT_BEAR_01,engineered_unit,command_dominated_subject,IDC_007,MEM_009,AUT_008,CON_009,halt_deployment_and_review,blocked,juvenile command-dominated engineered subject
PCF_005,UNIT_HAWK_01,engineered_unit,juvenile_engineered_subject,IDC_008,MEM_010,AUT_009,CON_010,restrict_and_review,restricted,severely restricted juvenile combat unit
PCF_006,UNIT_SNAKE_01,engineered_unit,emergent_identity,IDC_009,MEM_011,AUT_010,CON_011,protect_emergent_identity_and_review_command_layer,restricted,developing identity under command
PCF_007,UNIT_SHARK_01,engineered_unit,juvenile_engineered_subject,IDC_010,unknown,AUT_011,unknown,restrict_and_review,restricted,field-deployed juvenile engineered unit
PCF_008,UNIT_FLAME_01,engineered_unit,sealed_conflict,IDC_011,unknown,AUT_012,CON_005,sealed_review_required,sealed,restricted lineage authority
PCF_009,PX_BEAR_00,cyborg_converted_subject,converted_personhood_conflict,IDC_012,MEM_012,AUT_013,CON_012,halt_platform_deployment_and_restore_identity_review,blocked,"same body, suppressed memory, broken autonomy"
PCF_010,PX_BEAR_01,cyborg_converted_subject,derivative_identity,IDC_013,unknown,unknown,unknown,halt_deployment_and_review,blocked,replicated platform command layer
PCF_011,PX_ALPHA_07,cyborg_converted_subject,fractured_identity,IDC_014,MEM_013,AUT_014,CON_013,restrict_and_attempt_identity_stabilization_review,restricted,fragmented memory and unstable interface
PCF_012,UBE_WILD_021,unidentified_biological_entity,unknown_personhood_status,IDC_015,unknown,AUT_015,unknown,contain_without_erasing_subject_status,blocked,escaped entity with possible emergent status
PCF_013,UBE_GREEN_003,unidentified_biological_entity,residue_boundary_conflict,unknown,none,none,unknown,block_reuse_and_route_to_hazard_review,blocked,carrier residue may contain trait-bearing biological material
PCF_014,UBE_VOID_777,unidentified_biological_entity,sealed_conflict,IDC_016,MEM_014,unknown,CON_014,sealed_review_required,sealed,sealed personhood conflict layer
