ability_id,ability_name,ability_class,primary_effect,required_body_system,biological_analogy,linked_marker,plausibility_class,risk_flag,notes
ABL_REPULSE,repulsion-like ability,paramecia_like,force-like displacement of targets,surface_contact_system,mechanotransduction and force-field boundary claim,LF_VAR_013,boundary_case,critical,requires externalized force mechanism beyond tissue mechanics
ABL_ELASTIC,elastic body phenotype,paramecia_like,extreme whole-body elasticity,extracellular_matrix_system,polymer biomechanics and elastomer-like tissue remodeling,LF_DURABILITY_plus,boundary_case,high,large-scale tissue elasticity exceeds normal ECM range
ABL_FIRE,fire-body phenotype,logia_like,combustion-like body state,whole_body_energy_state,non-biological body-state conversion,LF_THERMAL_boundary,impossible,critical,route to anomaly record
ABL_ANIMAL_FORM,animal-form conversion,zoan_like,body-plan transformation,developmental_patterning_system,developmental reprogramming and morphogenesis boundary claim,LF_GROWTH_accel,boundary_case,high,adult-scale body-plan conversion exceeds known developmental constraints
ABL_PETRIFY,petrification-like effect,paramecia_like,rapid immobilization or mineral-like state induction,target_body_state_system,biomineralization and neural shock boundary claim,LF_AFFECT_signal,boundary_case,critical,requires target-body state override
ABL_BLADE,blade-interface ability,paramecia_like,body-weapon interface formation,integumentary_morphology_system,keratinized or mineralized tissue extension boundary claim,LF_BLADE_interface,speculative,high,weaponization of body plan
ABL_AQUA_FORCE,aquatic force-output ability,lineage_resilience_like,high-output aquatic movement and pressure tolerance,musculoskeletal_aquatic_system,aquatic biomechanics and pressure adaptation,LF_AQUA_adapt,speculative,high,combat deployment risk
ABL_THERMAL_RESIST,thermal resilience ability,lineage_resilience_like,resistance to heat and damage,stress_response_system,stress tolerance and tissue protection boundary claim,LF_LUN_resilience,boundary_case,critical,restricted lineage marker
ABL_MEMORY_SUPPRESS,memory-suppression control,cybernetic_like,suppression of autobiographical response,neural_identity_system,neural interface and memory access disruption,LF_NEURAL_suppression,speculative,critical,identity fracture risk
ABL_PLATFORM_SYNC,platform integration,cybernetic_like,biological-mechanical command synchronization,biohybrid_interface_system,prosthetic integration and neural interface,LF_PLATFORM_integration,speculative,critical,converted subject risk
ABL_SHADOW_BIND,shadow-binding output,paramecia_like,external behavioral immobilization,externalized_control_system,no stable biological analogue,None,impossible,critical,route to anomaly record
ABL_ROOM_FIELD,localized operation field,paramecia_like,spatially bounded biological manipulation,surgical_field_system,remote microsurgery and field control boundary claim,None,impossible,critical,requires spatial control beyond biological mechanism
ABL_GRAVITY_SHIFT,gravity-shift output,paramecia_like,alteration of gravitational response,whole_body_physics_system,no biological analogue,None,impossible,critical,route to physics anomaly archive
ABL_VOID_UNKNOWN,unresolved ability signal,unresolved,unresolved phenotype output,unknown,unresolved,LF_VOID_unresolved,unresolved,unknown,sealed or corrupted record
